time	valores	x	y	optional
1	85	-10.47944443	-36.48194443	TRUE
2	84	-10.47944443	-36.48194443	TRUE
3	84	-10.47944443	-36.48194443	TRUE
4	86	-10.47944443	-36.48194443	TRUE
5	85	-10.47944443	-36.48194443	TRUE
6	86	-10.47944443	-36.48194443	TRUE
7	87	-10.47944443	-36.48194443	TRUE
8	87	-10.47944443	-36.48194443	TRUE
9	84	-10.47944443	-36.48194443	TRUE
10	82	-10.47944443	-36.48194443	TRUE
11	72	-10.47944443	-36.48194443	TRUE
12	71	-10.47944443	-36.48194443	TRUE
13	65	-10.47944443	-36.48194443	TRUE
14	60	-10.47944443	-36.48194443	TRUE
15	63	-10.47944443	-36.48194443	TRUE
16	62	-10.47944443	-36.48194443	TRUE
17	63	-10.47944443	-36.48194443	TRUE
18	67	-10.47944443	-36.48194443	TRUE
19	65	-10.47944443	-36.48194443	TRUE
20	72	-10.47944443	-36.48194443	TRUE
21	73	-10.47944443	-36.48194443	TRUE
22	79	-10.47944443	-36.48194443	TRUE
23	82	-10.47944443	-36.48194443	TRUE
24	83	-10.47944443	-36.48194443	TRUE
1	63	-7.45527777	-46.02749999	TRUE
2	70	-7.45527777	-46.02749999	TRUE
3	73	-7.45527777	-46.02749999	TRUE
4	75	-7.45527777	-46.02749999	TRUE
5	81	-7.45527777	-46.02749999	TRUE
6	85	-7.45527777	-46.02749999	TRUE
7	87	-7.45527777	-46.02749999	TRUE
8	87	-7.45527777	-46.02749999	TRUE
9	89	-7.45527777	-46.02749999	TRUE
10	91	-7.45527777	-46.02749999	TRUE
11	80	-7.45527777	-46.02749999	TRUE
12	59	-7.45527777	-46.02749999	TRUE
13	43	-7.45527777	-46.02749999	TRUE
14	35	-7.45527777	-46.02749999	TRUE
15	34	-7.45527777	-46.02749999	TRUE
16	35	-7.45527777	-46.02749999	TRUE
17	33	-7.45527777	-46.02749999	TRUE
18	30	-7.45527777	-46.02749999	TRUE
19	27	-7.45527777	-46.02749999	TRUE
20	26	-7.45527777	-46.02749999	TRUE
21	26	-7.45527777	-46.02749999	TRUE
22	31	-7.45527777	-46.02749999	TRUE
23	34	-7.45527777	-46.02749999	TRUE
24	41	-7.45527777	-46.02749999	TRUE
1	80	-11.8	-37.59972221	TRUE
2	85	-11.8	-37.59972221	TRUE
3	81	-11.8	-37.59972221	TRUE
4	82	-11.8	-37.59972221	TRUE
5	82	-11.8	-37.59972221	TRUE
6	80	-11.8	-37.59972221	TRUE
7	81	-11.8	-37.59972221	TRUE
8	81	-11.8	-37.59972221	TRUE
9	81	-11.8	-37.59972221	TRUE
10	75	-11.8	-37.59972221	TRUE
11	73	-11.8	-37.59972221	TRUE
12	73	-11.8	-37.59972221	TRUE
13	68	-11.8	-37.59972221	TRUE
14	68	-11.8	-37.59972221	TRUE
15	67	-11.8	-37.59972221	TRUE
16	69	-11.8	-37.59972221	TRUE
17	68	-11.8	-37.59972221	TRUE
18	72	-11.8	-37.59972221	TRUE
19	69	-11.8	-37.59972221	TRUE
20	73	-11.8	-37.59972221	TRUE
21	75	-11.8	-37.59972221	TRUE
22	76	-11.8	-37.59972221	TRUE
23	77	-11.8	-37.59972221	TRUE
24	78	-11.8	-37.59972221	TRUE
1	58	-11.205	-40.465	TRUE
2	62	-11.205	-40.465	TRUE
3	68	-11.205	-40.465	TRUE
4	67	-11.205	-40.465	TRUE
5	70	-11.205	-40.465	TRUE
6	71	-11.205	-40.465	TRUE
7	72	-11.205	-40.465	TRUE
8	74	-11.205	-40.465	TRUE
9	76	-11.205	-40.465	TRUE
10	76	-11.205	-40.465	TRUE
11	71	-11.205	-40.465	TRUE
12	64	-11.205	-40.465	TRUE
13	55	-11.205	-40.465	TRUE
14	45	-11.205	-40.465	TRUE
15	40	-11.205	-40.465	TRUE
16	30	-11.205	-40.465	TRUE
17	27	-11.205	-40.465	TRUE
18	26	-11.205	-40.465	TRUE
19	24	-11.205	-40.465	TRUE
20	24	-11.205	-40.465	TRUE
21	25	-11.205	-40.465	TRUE
22	28	-11.205	-40.465	TRUE
23	32	-11.205	-40.465	TRUE
24	36	-11.205	-40.465	TRUE
1	81	-1.66166666	-45.37277777	TRUE
2	83	-1.66166666	-45.37277777	TRUE
3	85	-1.66166666	-45.37277777	TRUE
4	86	-1.66166666	-45.37277777	TRUE
5	85	-1.66166666	-45.37277777	TRUE
6	85	-1.66166666	-45.37277777	TRUE
7	86	-1.66166666	-45.37277777	TRUE
8	86	-1.66166666	-45.37277777	TRUE
9	87	-1.66166666	-45.37277777	TRUE
10	88	-1.66166666	-45.37277777	TRUE
11	84	-1.66166666	-45.37277777	TRUE
12	75	-1.66166666	-45.37277777	TRUE
13	68	-1.66166666	-45.37277777	TRUE
14	61	-1.66166666	-45.37277777	TRUE
15	58	-1.66166666	-45.37277777	TRUE
16	55	-1.66166666	-45.37277777	TRUE
17	59	-1.66166666	-45.37277777	TRUE
18	58	-1.66166666	-45.37277777	TRUE
19	62	-1.66166666	-45.37277777	TRUE
20	64	-1.66166666	-45.37277777	TRUE
21	64	-1.66166666	-45.37277777	TRUE
22	70	-1.66166666	-45.37277777	TRUE
23	74	-1.66166666	-45.37277777	TRUE
24	78	-1.66166666	-45.37277777	TRUE
1	34	-7.88472221	-40.10111111	TRUE
2	34	-7.88472221	-40.10111111	TRUE
3	36	-7.88472221	-40.10111111	TRUE
4	44	-7.88472221	-40.10111111	TRUE
5	57	-7.88472221	-40.10111111	TRUE
6	59	-7.88472221	-40.10111111	TRUE
7	65	-7.88472221	-40.10111111	TRUE
8	68	-7.88472221	-40.10111111	TRUE
9	69	-7.88472221	-40.10111111	TRUE
10	66	-7.88472221	-40.10111111	TRUE
11	65	-7.88472221	-40.10111111	TRUE
12	62	-7.88472221	-40.10111111	TRUE
13	58	-7.88472221	-40.10111111	TRUE
14	48	-7.88472221	-40.10111111	TRUE
15	37	-7.88472221	-40.10111111	TRUE
16	31	-7.88472221	-40.10111111	TRUE
17	28	-7.88472221	-40.10111111	TRUE
18	24	-7.88472221	-40.10111111	TRUE
19	23	-7.88472221	-40.10111111	TRUE
20	23	-7.88472221	-40.10111111	TRUE
21	23	-7.88472221	-40.10111111	TRUE
22	28	-7.88472221	-40.10111111	TRUE
